1,0,0,1,2020-01-30
2,0,0,2,2020-02-02
3,0,0,3,2020-02-03
5,3,0,2,2020-03-02
6,3,0,3,2020-03-03
28,3,0,25,2020-03-04
30,3,0,27,2020-03-05
31,3,0,28,2020-03-06
34,3,0,31,2020-03-07
39,3,0,36,2020-03-08
44,3,0,41,2020-03-09
50,4,0,46,2020-03-10
60,4,0,56,2020-03-11
73,4,1,68,2020-03-12
81,10,2,69,2020-03-13
97,10,2,85,2020-03-14
107,13,2,92,2020-03-15
118,13,2,103,2020-03-16
137,14,3,120,2020-03-17
151,14,3,134,2020-03-18
173,15,3,155,2020-03-19
223,23,4,196,2020-03-20
283,23,5,255,2020-03-21
360,24,7,329,2020-03-22
434,24,9,401,2020-03-23
519,40,9,470,2020-03-24
606,43,10,553,2020-03-25
694,45,16,633,2020-03-26
834,74,18,742,2020-03-27
918,80,20,818,2020-03-28
1024,95,27,902,2020-03-29
1251,102,32,1117,2020-03-30
1397,124,35,1238,2020-03-31
1834,144,41,1649,2020-04-01
2069,156,53,1860,2020-04-02
2470,163,62,2245,"2020-04-03 18:00"
2902,184,68,2650,"2020-04-04 09:00"
3072,213,75,2784,"2020-04-04 18:00"
3374,267,77,3030,"2020-04-05 09:00"
3577,275,83,3219,"2020-04-05 18:00"
4067,292,109,3666,"2020-04-06 09:00"
4281,319,111,3851,"2020-04-06 18:00"
4421,326,114,3981,"2020-04-07 09:00"
4789,353,124,4312,2020-04-07 18:00
5194,402,149,4643,2020-04-08 08:00:00
5274,411,149,4714,2020-04-08 17:00:00
5734,473,166,5095,2020-04-09 08:00:00
5865,478,169,5218,2020-04-09 17:00:00
6412,504,199,5709,2020-04-10 08:00:00
6761,516,206,6039,2020-04-10 17:00:00
7447,643,239,6565,2020-04-11 08:00:00
7529,653,242,6634,2020-04-11 17:00:00
8356,716,273,7367,2020-04-12 08:00:00
8447,765,273,7409,2020-04-12 17:00:00
9352,980,324,8048,2020-04-13 17:00:00
10815,1190,353,9272,2020-04-14 17:00:00
11439,1306,377,9756,2020-04-15 08:00:00
11933,1344,392,10197,2020-04-15 17:00:00
12759,1515,420,10824,2020-04-16 17:00:00
13387,1749,437,11201,2020-04-17 08:00:00
13835,1767,452,11616,2020-04-17 17:00:00
14792,2015,488,12289,2020-04-18 17:00:00
15712,2231,507,12974,2020-04-19 08:00:00
16116,2302,519,13295,2020-04-19 17:00:00
17265,2547,543,14175,2020-04-20 08:00:00
17656,2842,559,14255,2020-04-20 17:00:00
18601,3252,590,14759,2020-04-21 08:00:00
18985,3260,603,15122,2020-04-21 17:00:00
19984,3870,640,15474,2020-04-22 08:00:00
20471,3960,652,15859,2020-04-22 17:00:00
21700,4325,686,16689,2020-04-23 17:00:00
23077,4749,718,17610,2020-04-24 08:00:00
23452,4814,723,17915,2020-04-24 17:00:00
24506,5063,775,18668,2020-04-25 08:00:00
24893,5210,779,18904,2020-04-25 17:00:00
